open,high,low,close,volume,timestamp
154.80,154.93,154.63,154.82,23.831,1723325700000
154.79,154.79,154.61,154.61,24.271,1723326000000
154.62,154.85,154.62,154.85,7.341,1723326300000
154.88,155.02,154.73,154.98,33.931,1723326600000
154.95,155.19,154.92,154.93,144.823,1723326900000
154.99,154.99,154.75,154.77,11.224,1723327200000
154.77,154.84,154.54,154.82,17.745,1723327500000
154.85,155.08,154.69,154.72,24.838,1723327800000
154.66,155.19,154.49,155.07,23.958,1723328100000
155.11,155.17,154.80,155.12,11.87,1723328400000
155.09,155.09,154.61,154.68,61.54,1723328700000
154.62,155.13,154.62,154.79,13.033,1723329000000
154.83,155.06,154.82,154.88,43.638,1723329300000
154.87,155.02,154.77,154.97,14.992,1723329600000
154.95,155.14,154.83,154.90,54.037,1723329900000
154.89,154.90,154.62,154.90,24.728,1723330200000
154.94,154.95,154.64,154.70,7.774,1723330500000
154.72,154.72,154.20,154.20,10.604,1723330800000
154.17,154.27,154.08,154.17,13.113,1723331100000
154.21,154.57,154.14,154.33,159.802,1723331400000
154.24,154.34,153.97,153.97,5.687,1723331700000
153.99,154.09,153.85,153.99,13.842,1723332000000
153.94,154.07,153.84,153.92,215.523,1723332300000
153.87,154.40,153.87,154.22,1061.718,1723332600000
154.25,154.25,153.85,154.08,38.202,1723332900000
154.06,154.10,153.70,153.79,46.868,1723333200000
153.79,153.91,153.71,153.74,50.764,1723333500000
153.80,154.01,153.80,153.92,10.554,1723333800000
153.89,154.07,153.82,154.06,15.138,1723334100000
154.09,154.10,153.68,154.10,54.34,1723334400000
154.16,154.39,154.02,154.20,107.026,1723334700000
154.37,154.78,154.32,154.78,73.127,1723335000000
154.80,155.04,154.11,154.34,1375.818,1723335300000
154.32,154.78,154.14,154.78,71.736,1723335600000
154.75,154.75,154.30,154.39,237.41,1723335900000
154.48,154.60,154.18,154.52,46.147,1723336200000
154.55,154.96,154.55,154.79,33.523,1723336500000
154.79,155.16,154.78,154.85,70.6,1723336800000
154.82,155.05,154.71,154.89,48.426,1723337100000
154.81,155.13,154.81,155.01,114.033,1723337400000
154.93,154.93,154.69,154.81,31.017,1723337700000
154.83,154.83,154.61,154.73,15.026,1723338000000
154.71,154.80,154.57,154.80,27.092,1723338300000
154.87,155.30,154.72,155.24,19.916,1723338600000
155.21,155.23,154.51,154.51,13.399,1723338900000
154.51,154.68,154.36,154.40,137.286,1723339200000
154.36,154.49,154.32,154.42,5.138,1723339500000
154.42,154.77,154.31,154.77,28.855,1723339800000
